DEPOSIT,100.0,2023-05-02T00:29:26.826766
DEPOSIT,100.0,2023-05-02T00:31:49.552369
DEPOSIT,100.0,2023-05-02T00:33:11.584913
DEPOSIT,100.0,2023-05-02T00:33:19.494833
DEPOSIT,100.0,2023-05-02T00:38:05.913220
WITHDRAW,345.0,2023-05-02T00:38:44.771759
WITHDRAW,345.0,2023-05-02T00:39:52.334521
WITHDRAW,345.0,2023-05-02T00:40:09.793120
WITHDRAW,345.0,2023-05-02T00:41:16.141322
WITHDRAW,345.0,2023-05-02T00:42:57.427721
WITHDRAW,345.0,2023-05-02T00:43:09.506935
WITHDRAW,345.0,2023-05-02T11:38:36.475677
WITHDRAW,345.0,2023-05-02T11:43:52.287068
WITHDRAW,345.0,2023-05-02T20:55:46.459650
WITHDRAW,345.0,2023-05-02T20:56:24.470577
WITHDRAW,345.0,2023-05-02T21:05:23.740288
WITHDRAW,345.0,2023-05-04T16:29:35.790867
WITHDRAW,345.0,2023-05-04T16:31:46.890419
